"Preparation_Date","Sample","Label","Light_Conditions","Temp_Conditions","Light_Intensity","Surface_Area_cm2","Std_Conc_mg_ml","Std_Added_ul","Peak_Area_Std","Compound","Peak_Area","ug_cm2"
"2/18/22","ML_1","Big_1","Light","Room_Temp","Benchtop",2.721,0.46,25,1072516328,"C28_fatty_acid",2432340836,9.58494923595993
"2/18/22","ML_1","Big_1","Light","Room_Temp","Benchtop",2.721,0.46,25,1072516328,"C30_fatty_acid",1436915834,5.66235007914698
"2/18/22","ML_2","Big_2","Light","Room_Temp","Benchtop",1.926,0.46,25,773906299,"C28_fatty_acid",634036397,4.89178504993597
"2/18/22","ML_2","Big_2","Light","Room_Temp","Benchtop",1.926,0.46,25,773906299,"C30_fatty_acid",454240748,3.50460653465945
"2/18/22","ML_4","Small_1","Light","Room_Temp","Benchtop",1.628,0.46,25,1510193605,"C28_fatty_acid",2812066304,13.1533497834357
"2/18/22","ML_4","Small_1","Light","Room_Temp","Benchtop",1.628,0.46,25,1510193605,"C30_fatty_acid",1342447014,6.27925277428693
"2/18/22","ML_5","Small_2","Light","Room_Temp","Benchtop",1.058,0.46,25,1222524439,"C28_fatty_acid",599351028,5.32887922656614
"2/18/22","ML_5","Small_2","Light","Room_Temp","Benchtop",1.058,0.46,25,1222524439,"C30_fatty_acid",601887893,5.35143470168431
"2/18/22","ML_7","Control_1","Dark","-20C","Fridge",1.346,0.46,25,1084230455,"C28_fatty_acid",117488671,0.925821303068443
"2/18/22","ML_7","Control_1","Dark","-20C","Fridge",1.346,0.46,25,1084230455,"C30_fatty_acid",187781105,1.47973201026959
"2/18/22","ML_8","Control_2","Dark","-20C","Fridge",1.214,0.46,25,803211011,"C28_fatty_acid",61351026,0.723554635442015
"2/18/22","ML_8","Control_2","Dark","-20C","Fridge",1.214,0.46,25,803211011,"C30_fatty_acid",72929853,0.860111666270336
"3/22/22","ML_10","Light_1","Light","Room_Temp","Benchtop",0.7736,0.46,25,310923194,"C28_fatty_acid",216685769,10.3599735953295
"3/22/22","ML_10","Light_1","Light","Room_Temp","Benchtop",0.7736,0.46,25,310923194,"C30_fatty_acid",197922887,9.46290055269566
"3/22/22","ML_11","Light_2","Light","Room_Temp","Benchtop",0.8037,0.46,25,319722504,"C28_fatty_acid",330861198,14.8073214436948
"3/22/22","ML_11","Light_2","Light","Room_Temp","Benchtop",0.8037,0.46,25,319722504,"C30_fatty_acid",264736416,11.8479810665611
"3/22/22","ML_12","Light_3","Light","Room_Temp","Benchtop",1.1756,0.46,25,588445839,"C28_fatty_acid",341722587,5.68074705815347
"3/22/22","ML_12","Light_3","Light","Room_Temp","Benchtop",1.1756,0.46,25,588445839,"C30_fatty_acid",379237147,6.30438369929221
"3/22/22","ML_13","Light_4","Light","Room_Temp","Benchtop",0.8017,0.46,25,411578970,"C28_fatty_acid",220308720,7.67828924166831
"3/22/22","ML_13","Light_4","Light","Room_Temp","Benchtop",0.8017,0.46,25,411578970,"C30_fatty_acid",127920329,4.45833140854057
"3/22/22","ML_14","Light_5","Light","Room_Temp","Benchtop",0.8988,0.46,25,577209144,"C28_fatty_acid",183145886,4.0597448701726
"3/22/22","ML_14","Light_5","Light","Room_Temp","Benchtop",0.8988,0.46,25,557209144,"C30_fatty_acid",201206317,4.6201721023818
"3/22/22","ML_15","Light_6","Light","Room_Temp","Benchtop",0.8905,0.46,25,577164867,"C28_fatty_acid",180805577,4.04553396621452
"3/22/22","ML_15","Light_6","Light","Room_Temp","Benchtop",0.8905,0.46,25,577164867,"C30_fatty_acid",211657341,4.73584375228729
"3/25/22","ML_16","Control_1","Dark","Room_Temp","Foil",0.8182,0.46,25,355143083,"C28_fatty_acid",47711761,1.88825416362583
"3/25/22","ML_16","Control_1","Dark","Room_Temp","Foil",0.8182,0.46,25,355143083,"C30_fatty_acid",83823017,3.31740345651733
"3/25/22","ML_17","Control_2","Dark","Room_Temp","Foil",0.3471,0.46,25,989625743,"C28_fatty_acid",50913720,1.70453951072621
"3/25/22","ML_17","Control_2","Dark","Room_Temp","Foil",0.3471,0.46,25,989625743,"C30_fatty_acid",64517034,2.15996461401497
"3/25/22","ML_18","Control_3","Dark","Room_Temp","Foil",0.6508,0.46,25,376704133,"C28_fatty_acid",16363870,0.767601706675677
"3/25/22","ML_18","Control_3","Dark","Room_Temp","Foil",0.6508,0.46,25,376704133,"C30_fatty_acid",31849420,1.49400289470831
"3/25/22","ML_19","Control_4","Dark","Room_Temp","Foil",0.4628,0.46,25,469631622,"C28_fatty_acid",52039803,2.75348555240157
"3/25/22","ML_19","Control_4","Dark","Room_Temp","Foil",0.4628,0.46,25,469631622,"C30_fatty_acid",62148999,3.28837468586727
"3/25/22","ML_20","Control_5","Dark","Room_Temp","Foil",0.5496,0.46,25,448459131,"C28_fatty_acid",49491067,2.309165510693
"3/25/22","ML_20","Control_5","Dark","Room_Temp","Foil",0.5496,0.46,25,448459131,"C30_fatty_acid",53469813,2.49480675053549
"3/25/22","ML_21","Control_6","Dark","Room_Temp","Foil",0.9607,0.46,25,408583836,"C28_fatty_acid",37288587,1.09245811445661
"3/25/22","ML_21","Control_6","Dark","Room_Temp","Foil",0.9607,0.46,25,408583836,"C30_fatty_acid",53517800,1.56793162685049
